,600820:207000,000541:89850,600256:13000,000027:30000,002939:500,601577:1000,601138:500,sh,total 
2017-12-11,8.62,9.37,4.91,6.09,9.09,11.51,19.83,3322.2,2898734.4999999995
2017-12-08,8.54,9.22,5.04,6.03,9.09,11.51,19.83,3289.99,2868587.0
2017-12-07,8.5,9.16,5.0,5.98,9.09,11.51,19.83,3272.05,2852896.0
2017-12-06,8.54,9.33,5.1,5.96,9.09,11.51,19.83,3293.96,2877150.5
2017-12-05,8.52,9.26,4.79,5.96,9.09,11.51,19.83,3303.68,2862691.0
2017-12-04,8.73,9.51,4.81,6.05,9.09,11.51,19.83,3309.62,2931583.5
2017-12-01,8.93,9.66,4.5,6.1,9.09,11.51,19.83,3317.62,2983931.0
2017-11-30,8.94,9.76,4.34,6.12,9.09,11.51,19.83,3317.19,2993506.0
2017-11-29,8.89,9.89,4.33,6.05,9.09,11.51,19.83,3337.86,2992606.5
2017-11-28,9.04,9.95,4.27,6.06,9.09,11.51,19.83,3333.66,3028567.4999999995
2017-11-27,8.99,9.65,4.13,6.03,9.09,11.51,19.83,3322.23,2988542.5
2017-11-24,9.09,9.84,4.18,6.05,9.09,11.51,19.83,3353.82,3027564.0
2017-11-23,9.19,9.41,4.17,6.04,9.09,11.51,19.83,3351.92,3009198.5
2017-11-22,9.28,9.7,4.14,6.14,9.09,11.51,19.83,3430.46,3056494.9999999995
2017-11-21,9.27,9.77,4.1,6.15,9.09,11.51,19.83,3410.5,3060494.5
2017-11-20,9.39,9.32,4.13,6.13,9.09,11.51,19.83,3392.4,3044692.0
2017-11-17,9.39,9.27,4.13,6.21,9.09,11.51,19.83,3382.91,3042599.5
2017-11-16,9.31,9.55,4.22,6.3,9.09,11.51,19.83,3399.25,3055067.5
2017-11-15,9.37,9.45,4.25,6.36,9.09,11.51,19.83,3402.52,3060692.4999999995
2017-11-14,9.36,9.29,4.28,6.33,9.09,11.51,19.83,3429.55,3043736.4999999995
2017-11-13,9.4,9.36,4.36,6.38,9.09,11.51,19.83,3447.84,3060846.0
2017-11-10,9.47,9.37,4.3,6.38,9.09,11.51,19.83,3432.67,3075454.5
2017-11-09,9.56,9.29,4.35,6.41,9.09,11.51,19.83,3427.79,3088446.5
2017-11-08,9.56,9.15,4.37,6.41,9.09,11.51,19.83,3415.46,3076127.5
2017-11-07,9.55,9.15,4.38,6.38,9.09,11.51,19.83,3413.57,3073287.5
2017-11-06,9.63,9.16,4.21,6.34,9.09,11.51,19.83,3388.17,3087336.0
2017-11-03,9.68,9.13,4.18,6.33,9.09,11.51,19.83,3371.74,3094300.5
2017-11-02,9.66,9.29,4.17,6.35,9.09,11.51,19.83,3383.31,3105006.5
2017-11-01,9.61,9.27,4.2,6.39,9.09,11.51,19.83,3395.91,3094449.5
2017-10-31,9.54,9.22,4.21,6.39,9.09,11.51,19.83,3393.34,3075597.0
2017-10-30,9.58,9.13,4.2,6.35,9.09,11.51,19.83,3390.34,3074460.5
2017-10-27,9.57,9.33,4.3,6.42,9.09,11.51,19.83,3416.81,3093760.5
2017-10-26,9.69,9.32,4.27,6.46,9.09,11.51,19.83,3407.57,3118512.0
2017-10-25,9.61,9.33,4.28,6.46,9.09,11.51,19.83,3396.9,3102980.5
2017-10-24,9.64,9.22,4.25,6.45,9.09,11.51,19.83,3388.25,3098617.0
2017-10-23,9.48,9.28,4.27,6.46,9.09,11.51,19.83,3380.7,3071448.0
2017-10-20,9.5,9.2,4.18,6.46,9.09,11.51,19.83,3378.65,3067230.0
2017-10-19,9.35,9.13,4.15,6.42,9.09,11.51,19.83,3370.17,3028300.5
2017-10-18,9.44,9.22,4.2,6.44,9.09,11.51,19.83,3381.79,3056267.0
2017-10-17,9.53,9.29,4.2,6.5,9.09,11.51,19.83,3372.04,3082986.4999999995
2017-10-16,9.59,9.25,4.18,6.51,9.09,11.51,19.83,3378.47,3091852.5
2017-10-13,9.78,9.46,4.23,6.59,9.09,11.51,19.83,3390.52,3153101.0
2017-10-12,9.78,9.45,4.23,6.49,9.09,11.51,19.83,3386.1,3149202.4999999995
2017-10-11,9.86,9.59,4.26,6.52,9.09,11.51,19.83,3388.28,3179631.5
2017-10-10,9.79,9.2,4.26,6.53,9.09,11.51,19.83,3382.99,3130399.9999999995
2017-10-09,9.74,9.11,4.26,6.49,9.09,11.51,19.83,3374.38,3110763.5
2017-09-29,9.69,9.04,4.21,6.45,9.09,11.51,19.83,3348.94,3092274.0
2017-09-28,9.66,9.02,4.14,6.47,9.09,11.51,19.83,3339.64,3083957.0
2017-09-27,9.67,9.05,4.17,6.42,9.09,11.51,19.83,3345.27,3087612.5
2017-09-26,9.65,9.05,4.14,6.42,9.09,11.51,19.83,3343.58,3083082.5
2017-09-25,9.67,9.03,4.12,6.41,9.09,11.51,19.83,3341.55,3084865.5
2017-09-22,9.73,9.12,4.17,6.47,9.09,11.51,19.83,3352.53,3107822.0
2017-09-21,9.68,9.16,4.21,6.53,9.09,11.51,19.83,3357.81,3103386.0
2017-09-20,9.69,9.25,4.23,6.54,9.09,11.51,19.83,3366.0,3114102.5
2017-09-19,9.76,9.15,4.23,6.53,9.09,11.51,19.83,3356.84,3119307.5
2017-09-18,9.96,9.2,4.23,6.57,9.09,11.51,19.83,3362.86,3166400.0
2017-09-15,9.99,9.23,4.22,6.56,9.09,11.51,19.83,3353.62,3174875.5
2017-09-14,9.95,9.27,4.25,6.57,9.09,11.51,19.83,3371.43,3170879.5
2017-09-13,9.87,9.22,4.27,6.57,9.09,11.51,19.83,3384.15,3150087.0
2017-09-12,9.85,9.21,4.3,6.58,9.09,11.51,19.83,3379.49,3145738.5
2017-09-11,9.95,9.26,4.29,6.61,9.09,11.51,19.83,3376.42,3171701.0
2017-09-08,9.98,9.14,4.28,6.65,9.09,11.51,19.83,3365.24,3168199.0
2017-09-07,9.94,9.12,4.29,6.56,9.09,11.51,19.83,3365.5,3155552.0
2017-09-06,9.99,9.2,4.34,6.59,9.09,11.51,19.83,3385.39,3174640.0
2017-09-05,10.1,9.11,4.35,6.6,9.09,11.51,19.83,3384.32,3189753.5
2017-09-04,10.21,9.14,4.34,6.63,9.09,11.51,19.83,3379.58,3215989.0
2017-09-01,10.11,9.1,4.35,6.62,9.09,11.51,19.83,3367.12,3191525.0
2017-08-31,10.13,9.08,4.29,6.59,9.09,11.51,19.83,3360.81,3192188.0
2017-08-30,10.09,9.07,4.28,6.59,9.09,11.51,19.83,3363.63,3182879.5
2017-08-29,10.16,9.09,4.26,6.6,9.09,11.51,19.83,3365.23,3199206.5
2017-08-28,10.25,9.07,4.28,6.59,9.09,11.51,19.83,3362.65,3215999.5
2017-08-25,10.44,9.05,4.25,6.53,9.09,11.51,19.83,3331.52,3251342.5
2017-08-24,10.44,8.99,4.18,6.47,9.09,11.51,19.83,3271.51,3243241.5
2017-08-23,10.28,8.97,4.24,6.5,9.09,11.51,19.83,3287.7,3210004.5
2017-08-22,10.4,9.04,4.27,6.53,9.09,11.51,19.83,3290.23,3242424.0
2017-08-21,10.3,9.11,4.32,6.54,9.09,11.51,19.83,3286.91,3228963.5
2017-08-18,10.11,9.1,4.29,6.51,9.09,11.51,19.83,3268.72,3187445.0
2017-08-17,9.6,9.13,4.29,6.52,9.09,11.51,19.83,3268.43,3084870.5
2017-08-16,9.41,8.97,4.26,6.45,9.09,11.51,19.83,3246.45,3028674.5
2017-08-15,9.41,8.94,4.43,6.44,9.09,11.51,19.83,3251.26,3027889.0
2017-08-14,9.44,8.97,4.42,6.44,9.09,11.51,19.83,3237.36,3036664.5
2017-08-11,9.26,8.86,4.36,6.41,9.09,11.51,19.83,3208.54,2987841.0
